model,auc_roc,auprc,accuracy@0.5,precision@0.5,recall@0.5,f1@0.5,brier,expected_noshow_pred,observed_noshow_test
logistic_regression,0.5264243169268852,0.9002532697798878,0.4838386090057958,0.8925626387567396,0.4730825803740281,0.6183975609086165,0.2491310087718791,0.5013646469371225,0.8840466636944568
elastic_net_logistic,0.5264496891806341,0.9002771690135202,0.483875761628771,0.8926022835394862,0.473103593191847,0.6184250281539264,0.2491138498364835,0.5013861671404388,0.8840466636944568
random_forest,0.6481857273212213,0.9311261135005964,0.8763374944271065,0.8862842798633523,0.9867198991384744,0.9338092728664752,0.1098003497579153,0.8021132768640548,0.8840466636944568
xgboost,0.8077180968567692,0.966509193858038,0.7476965373755388,0.9635010630758328,0.7427400714435806,0.8388390526365751,0.1798678906702095,0.603439450263977,0.8840466636944568
logistic_regression,0.5471737255079652,0.9003438468205893,0.5088794768910685,0.8972355769230769,0.5019541920571549,0.6437599374781039,0.2481958823130163,0.5026985987605602,0.8840466636944568
elastic_net_logistic,0.5471004533207422,0.9003414514535099,0.5090466636944568,0.8973299785947652,0.502101281781887,0.6439051994772228,0.2482420841635295,0.5026445131128792,0.8840466636944568
random_forest,0.6616782555846731,0.9331642312449974,0.8815017090206568,0.8854449204062926,0.9946417314561884,0.936872210511732,0.1072943531677454,0.8013747927859514,0.8840466636944568
xgboost,0.808399779665019,0.9659380659830044,0.7466005349977708,0.9614767691596662,0.7431393149821391,0.8383250565939341,0.1787705281993231,0.6040831208229065,0.8840466636944568
logistic_regression,0.5471737255079652,0.9003438468205893,0.5088794768910685,0.8972355769230769,0.5019541920571549,0.6437599374781039,0.2481958823130163,0.5026985987605602,0.8840466636944568
elastic_net_logistic,0.5471004533207422,0.9003414514535099,0.5090466636944568,0.8973299785947652,0.502101281781887,0.6439051994772228,0.2482420841635295,0.5026445131128792,0.8840466636944568
random_forest,0.6616782555846731,0.9331642312449974,0.8815017090206568,0.8854449204062926,0.9946417314561884,0.936872210511732,0.1072943531677454,0.8013747927859514,0.8840466636944568
xgboost,0.808399779665019,0.9659380659830044,0.7466005349977708,0.9614767691596662,0.7431393149821391,0.8383250565939341,0.1787705281993231,0.6040831208229065,0.8840466636944568
logistic_regression,0.5471737255079652,0.9003438468205893,0.5088794768910685,0.8972355769230769,0.5019541920571549,0.6437599374781039,0.2481958823130163,0.5026985987605602,0.8840466636944568
elastic_net_logistic,0.5471004533207422,0.9003414514535099,0.5090466636944568,0.8973299785947652,0.502101281781887,0.6439051994772228,0.2482420841635295,0.5026445131128792,0.8840466636944568
random_forest,0.6616782555846731,0.9331642312449974,0.8815017090206568,0.8854449204062926,0.9946417314561884,0.936872210511732,0.1072943531677454,0.8013747927859514,0.8840466636944568
xgboost,0.808399779665019,0.9659380659830044,0.7466005349977708,0.9614767691596662,0.7431393149821391,0.8383250565939341,0.1787705281993231,0.6040831208229065,0.8840466636944568
logistic_regression,0.5471737255079652,0.9003438468205893,0.5088794768910685,0.8972355769230769,0.5019541920571549,0.6437599374781039,0.2481958823130163,0.5026985987605602,0.8840466636944568
elastic_net_logistic,0.5471004533207422,0.9003414514535099,0.5090466636944568,0.8973299785947652,0.502101281781887,0.6439051994772228,0.2482420841635295,0.5026445131128792,0.8840466636944568
random_forest,0.6616782555846731,0.9331642312449974,0.8815017090206568,0.8854449204062926,0.9946417314561884,0.936872210511732,0.1072943531677454,0.8013747927859514,0.8840466636944568
xgboost,0.808399779665019,0.9659380659830044,0.7466005349977708,0.9614767691596662,0.7431393149821391,0.8383250565939341,0.1787705281993231,0.6040831208229065,0.8840466636944568
logistic_regression,0.5471737255079652,0.9003438468205893,0.5088794768910685,0.8972355769230769,0.5019541920571549,0.6437599374781039,0.2481958823130163,0.5026985987605602,0.8840466636944568
elastic_net_logistic,0.5471004533207422,0.9003414514535099,0.5090466636944568,0.8973299785947652,0.502101281781887,0.6439051994772228,0.2482420841635295,0.5026445131128792,0.8840466636944568
random_forest,0.6616782555846731,0.9331642312449974,0.8815017090206568,0.8854449204062926,0.9946417314561884,0.936872210511732,0.1072943531677454,0.8013747927859514,0.8840466636944568
xgboost,0.808399779665019,0.9659380659830044,0.7466005349977708,0.9614767691596662,0.7431393149821391,0.8383250565939341,0.1787705281993231,0.6040831208229065,0.8840466636944568
logistic_regression,0.5471737255079652,0.9003438468205893,0.5088794768910685,0.8972355769230769,0.5019541920571549,0.6437599374781039,0.2481958823130163,0.5026985987605602,0.8840466636944568
elastic_net_logistic,0.5471004533207422,0.9003414514535099,0.5090466636944568,0.8973299785947652,0.502101281781887,0.6439051994772228,0.2482420841635295,0.5026445131128792,0.8840466636944568
random_forest,0.6616782555846731,0.9331642312449974,0.8815017090206568,0.8854449204062926,0.9946417314561884,0.936872210511732,0.1072943531677454,0.8013747927859514,0.8840466636944568
xgboost,0.808399779665019,0.9659380659830044,0.7466005349977708,0.9614767691596662,0.7431393149821391,0.8383250565939341,0.1787705281993231,0.6040831208229065,0.8840466636944568
logistic_regression,0.5471737255079652,0.9003438468205893,0.5088794768910685,0.8972355769230769,0.5019541920571549,0.6437599374781039,0.2481958823130163,0.5026985987605602,0.8840466636944568
elastic_net_logistic,0.5471004533207422,0.9003414514535099,0.5090466636944568,0.8973299785947652,0.502101281781887,0.6439051994772228,0.2482420841635295,0.5026445131128792,0.8840466636944568
random_forest,0.6616782555846731,0.9331642312449974,0.8815017090206568,0.8854449204062926,0.9946417314561884,0.936872210511732,0.1072943531677454,0.8013747927859514,0.8840466636944568
xgboost,0.808399779665019,0.9659380659830044,0.7466005349977708,0.9614767691596662,0.7431393149821391,0.8383250565939341,0.1787705281993231,0.6040831208229065,0.8840466636944568
logistic_regression,0.5471737255079652,0.9003438468205893,0.5088794768910685,0.8972355769230769,0.5019541920571549,0.6437599374781039,0.2481958823130163,0.5026985987605602,0.8840466636944568
elastic_net_logistic,0.5471004533207422,0.9003414514535099,0.5090466636944568,0.8973299785947652,0.502101281781887,0.6439051994772228,0.2482420841635295,0.5026445131128792,0.8840466636944568
random_forest,0.6616782555846731,0.9331642312449974,0.8815017090206568,0.8854449204062926,0.9946417314561884,0.936872210511732,0.1072943531677454,0.8013747927859514,0.8840466636944568
xgboost,0.808399779665019,0.9659380659830044,0.7466005349977708,0.9614767691596662,0.7431393149821391,0.8383250565939341,0.1787705281993231,0.6040831208229065,0.8840466636944568
logistic_regression,0.5471737255079652,0.9003438468205893,0.5088794768910685,0.8972355769230769,0.5019541920571549,0.6437599374781039,0.2481958823130163,0.5026985987605602,0.8840466636944568
elastic_net_logistic,0.5471004533207422,0.9003414514535099,0.5090466636944568,0.8973299785947652,0.502101281781887,0.6439051994772228,0.2482420841635295,0.5026445131128792,0.8840466636944568
random_forest,0.6616782555846731,0.9331642312449974,0.8815017090206568,0.8854449204062926,0.9946417314561884,0.936872210511732,0.1072943531677454,0.8013747927859514,0.8840466636944568
xgboost,0.808399779665019,0.9659380659830044,0.7466005349977708,0.9614767691596662,0.7431393149821391,0.8383250565939341,0.1787705281993231,0.6040831208229065,0.8840466636944568
logistic_regression,0.5471737255079652,0.9003438468205893,0.5088794768910685,0.8972355769230769,0.5019541920571549,0.6437599374781039,0.2481958823130163,0.5026985987605602,0.8840466636944568
elastic_net_logistic,0.5471004533207422,0.9003414514535099,0.5090466636944568,0.8973299785947652,0.502101281781887,0.6439051994772228,0.2482420841635295,0.5026445131128792,0.8840466636944568
random_forest,0.6616782555846731,0.9331642312449974,0.8815017090206568,0.8854449204062926,0.9946417314561884,0.936872210511732,0.1072943531677454,0.8013747927859514,0.8840466636944568
xgboost,0.808399779665019,0.9659380659830044,0.7466005349977708,0.9614767691596662,0.7431393149821391,0.8383250565939341,0.1787705281993231,0.6040831208229065,0.8840466636944568
logistic_regression,0.5398057245299379,0.8982944051295985,0.5058052051791718,0.8947744629622663,0.4997688590039924,0.6413288212374109,0.2483160697539859,0.5028724686300481,0.8840630863257231
elastic_net_logistic,0.5398268922251194,0.8983069652369261,0.5061767383106388,0.8948238920422509,0.5002101281781887,0.6417047430350572,0.2483154842031225,0.5028758077127458,0.8840630863257231
random_forest,0.6590411495348006,0.932889171270515,0.8815552376883209,0.885350437579475,0.994851859634377,0.9369125126155186,0.107595431486213,0.8005408773962708,0.8840630863257231
xgboost,0.8036051073032454,0.9647913130754222,0.7477104270773346,0.960464675458312,0.7453036352174827,0.8393142370354595,0.179029131635667,0.6050589680671692,0.8840630863257231
logistic_regression,0.5398057245299379,0.8982944051295985,0.5058052051791718,0.8947744629622663,0.4997688590039924,0.6413288212374109,0.2483160697539859,0.5028724686300481,0.8840630863257231
elastic_net_logistic,0.5398268922251194,0.8983069652369261,0.5061767383106388,0.8948238920422509,0.5002101281781887,0.6417047430350572,0.2483154842031225,0.5028758077127458,0.8840630863257231
random_forest,0.6590411495348006,0.932889171270515,0.8815552376883209,0.885350437579475,0.994851859634377,0.9369125126155186,0.107595431486213,0.8005408773962708,0.8840630863257231
xgboost,0.8036051073032454,0.9647913130754222,0.7477104270773346,0.960464675458312,0.7453036352174827,0.8393142370354595,0.179029131635667,0.6050589680671692,0.8840630863257231
logistic_regression,0.5426080149237134,0.132757979664418,0.5013653842581413,0.1266717407850386,0.5600064092292901,0.2066091274532986,0.2486733143328941,0.4976723616231353,0.1159369136742769
elastic_net_logistic,0.5424995266981469,0.1324344900755928,0.5010681577529676,0.1264900902206601,0.5593654863002724,0.2063238770685579,0.2486950167890948,0.4976959728217959,0.1159369136742769
random_forest,0.6605793005933588,0.1922476008734197,0.8819267708197879,0.3313782991202346,0.0181060727447524,0.0343360680644181,0.1073578417005307,0.198877022826801,0.1159369136742769
xgboost,0.8065681991186872,0.3175407146513156,0.7469487841578273,0.2826688652022849,0.7691075148213428,0.4134010851778485,0.1785114077127529,0.3961688876152038,0.1159369136742769
logistic_regression,0.5430373046706063,0.13335033380726063,0.8840630863257231,0.0,0.0,0.0,0.10224925870107726,0.11610771234623211,0.1159369136742769
elastic_net_logistic,0.5430241771306807,0.13329652658913022,0.8840630863257231,0.0,0.0,0.0,0.10225072347507501,0.11606764194695636,0.1159369136742769
random_forest,0.6643813883334722,0.19667685141707494,0.884007356356003,0.36363636363636365,0.0006409229290177856,0.0012795905310300703,0.09896961538983726,0.11778111937437993,0.1159369136742769
xgboost,0.8063572628846939,0.31974804572102067,0.8843603128308967,0.6111111111111112,0.007050152219195641,0.01393948994139078,0.08815851083859064,0.11549805849790573,0.1159369136742769
